ID,y,neea,vol,fcbio,fcbio.1000,l/cbio,UF,CD_UF,cap.m3dia,med.cap.m3ano,vol.cap.m3ano,ic.cana.tipic
66,39.72,47.68,97.01,0.00098713,0.98713390,1013.03,SP,1,2160.00,65700.00,63735.57,37.30
67,22.37,65.03,84.91,0.00117841,1.17840900,848.60,MG,3,12000.00,365000.00,309921.50,38.46
69,33.03,54.37,88.54,0.00102736,1.02735900,973.37,MG,3,2400.00,73000.00,64634.20,38.46
70,25.94,61.46,88.60,0.00116212,1.16211600,860.50,SP,1,9600.00,292000.00,258712.00,37.30
71,24.85,62.55,97.60,0.00130287,1.30286800,767.54,SP,1,7200.00,219000.00,213744.00,37.30
73,26.97,60.43,92.07,0.00118739,1.18739200,842.18,SP,1,4200.00,127750.00,117619.43,37.30
74,22.75,64.65,98.63,0.00136082,1.36082100,734.85,SP,1,14400.00,438000.00,431999.40,37.30
75,24.98,62.42,95.58,0.00127325,1.27325100,785.39,SP,1,16992.00,516840.00,493995.67,37.30
76,21.93,65.47,99.42,0.00106855,1.06855300,935.85,GO,2,37440.00,1138800.00,1132194.96,33.86
77,26.56,60.84,96.14,0.00124829,1.24829300,801.09,SP,1,21040.00,639966.67,615263.95,37.30
78,25.45,61.95,96.06,0.00127001,1.27001000,787.40,SP,1,5400.00,164250.00,157778.55,37.30
79,25.35,62.05,99.80,0.00132159,1.32158700,756.67,SP,1,12840.00,390550.00,389768.90,37.30
80,31.61,55.79,94.39,0.00112384,1.12384300,889.80,PR,6,9600.00,292000.00,275618.80,37.64
81,32.70,54.70,93.91,0.00109628,1.09628200,912.17,SP,1,11640.00,354050.00,332488.36,37.30
83,36.26,51.14,96.07,0.00104851,1.04850800,953.74,MS,5,5400.00,164250.00,157794.98,39.01
84,24.47,62.93,95.08,0.00127694,1.27693900,783.12,SP,1,4800.00,146000.00,138816.80,37.30
85,28.57,58.83,95.53,0.00119939,1.19939400,833.75,SP,1,14400.00,438000.00,418421.40,37.30
86,35.77,51.63,68.71,0.00075709,0.75708630,1320.85,PR,6,14400.00,438000.00,300949.80,37.64
87,21.93,65.47,94.51,0.00132052,1.32051500,757.28,SP,1,8400.00,255500.00,241473.05,37.30
88,28.24,59.16,92.80,0.00117165,1.17165400,853.49,MG,3,6000.00,182500.00,169360.00,38.46
89,23.89,63.51,76.94,0.00104284,1.04284000,958.92,SP,1,7200.00,219000.00,168498.60,37.30
90,24.55,62.85,99.49,0.00133447,1.33446800,749.36,SP,1,12000.00,365000.00,363138.50,37.30
92,23.91,63.49,97.31,0.00131852,1.31851800,758.43,MS,5,18000.00,547500.00,532772.25,39.01
